Rank,Country,Happiness Score,Dystopia,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Generosity,Perceptions of Corruption
52,Mauritius,6071,1969,1591,1116,568,589,131,107
53,Uzbekistan,6063,1913,1219,1092,600,716,283,240
54,Japan,6039,1487,1835,1089,866,537,7,218
55,Honduras,6022,2611,1111,885,555,582,202,76
56,Portugal,6016,1691,1760,1078,777,655,16,39
57,Argentina,5967,1891,1592,1102,662,555,81,85
58,Greece,5948,2119,1703,980,774,249,15,108
59,South Korea,5935,1656,1851,886,841,414,111,176
60,Philippines,5904,2283,1268,912,514,678,107,142
61,Thailand,5891,1600,1535,1096,697,617,321,26
62,Moldova,5857,2142,1417,1008,597,561,102,28
63,Jamaica,5850,2164,1296,1045,646,567,80,53
64,Kyrgyzstan,5828,2087,1069,1109,638,693,208,25
65,Belarus,5821,1811,1562,1157,629,342,40,282
66,Colombia,5781,1971,1452,929,720,545,87,77
67,Bosnia and Herzegovina,5768,1869,1468,1068,665,448,244,6
68,Mongolia,5761,1999,1393,1197,467,398,247,59
69,Dominican Rep.,5737,1751,1538,1003,577,606,84,179
70,Malaysia,5711,1471,1689,938,620,654,213,126
71,Bolivia,5600,2107,1256,880,555,627,112,64
72,China,5585,1516,1508,958,705,656,99,142
73,Paraguay,5578,1555,1409,1130,624,629,171,59
74,Peru,5559,1890,1397,865,735,545,90,37
75,Montenegro,5547,1619,1573,1023,659,460,135,77
76,Ecuador,5533,1866,1352,879,708,565,80,83
77,Vietnam,5485,1735,1252,932,611,707,143,105
78,Turkmenistan,5474,1160,1484,1319,516,649,314,32
79,N. Cyprus,5467,1078,1815,888,819,523,130,213
80,Russia,5459,1494,1685,1095,586,401,117,80
81,Hong Kong,5425,642,1957,954,942,400,147,383
82,Armenia,5399,1654,1434,820,668,558,54,210
83,Tajikistan,5377,1895,966,1005,518,572,118,304
84,Nepal,5377,2224,984,784,499,519,237,130
85,Bulgaria,5371,1235,1625,1163,640,563,123,21
86,Libya,5330,1544,1476,943,606,477,106,179
87,Indonesia,5240,1300,1382,883,539,620,468,47
