Continent,Happiness_Score,Dystopia,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_to_Make_Life_Choices,Generosity,Perceptions_of_Corruption
Africa,4726.38,1790.52,1116.58,691.40,439.02,417.76,143.78,127.42
Asia,5337.33,1554.52,1380.93,887.70,603.19,569.04,185.44,156.63
Australasia,6417.67,2167.67,1533.33,1001.33,599.67,563.33,239.00,313.33
Europe,6377.55,1904.50,1754.86,1110.52,719.02,563.07,136.05,189.57
North America,7001.00,2069.00,1934.00,1185.00,705.50,616.50,218.50,272.50
South America,5826.40,2075.35,1356.45,974.00,624.85,578.25,109.05,110.60
