Rank,Country,Continent,Score,Happiness_Score,Year,,,,,
95,Laos,Asia,"5,140",5140,2022,,,,,
96,Algeria,Africa,"5,122",5122,2022,,,,,
97,Liberia,Africa,"5,122",5122,2022,,,,,
98,Ukraine,Europe,"5,084",5084,2022,,,,,
99,Dem. Rep. Congo,Africa,"5,075",5075,2022,,,,,
100,Morocco,Africa,"5,060",5060,2022,,,,,
101,Mozambique,Africa,"5,048",5048,2022,,,,,
102,Cameroon,Africa,"5,048",5048,2022,,,,,
103,Senegal,Africa,"5,046",5046,2022,,,,,
104,Niger,Africa,"5,003",5003,2022,,,,,
105,S. Geo. and the Is.,Europe,"4,973",4973,2022,,,,,
106,Gabon,Africa,"4,958",4958,2022,,,,,
107,Iraq,Africa,"4,941",4941,2022,,,,,
108,Venezuela,South America,"4,925",4925,2022,,,,,
109,Papua New Guinea,Australasia,"4,891",4891,2022,,,,,
110,Iran,Africa,"4,888",4888,2022,,,,,
111,Ghana,Africa,"4,872",4872,2022,,,,,
112,Turkey,Africa,"4,744",4744,2022,,,,,
113,Burkina Faso,Africa,"4,670",4670,2022,,,,,
114,Cambodia,Asia,"4,640",4640,2022,,,,,
115,Benin,Africa,"4,623",4623,2022,,,,,
116,Comoros,Africa,"4,609",4609,2022,,,,,
117,Uganda,Africa,"4,603",4603,2022,,,,,
118,Nigeria,Africa,"4,552",4552,2022,,,,,
119,Kenya,Africa,"4,543",4543,2022,,,,,
120,Tunisia,Africa,"4,516",4516,2022,,,,,
121,Pakistan,Asia,"4,516",4516,2022,,,,,
122,Palestine,Africa,"4,483",4483,2022,,,,,
123,Mali,Africa,"4,479",4479,2022,,,,,
124,Namibia,Africa,"4,459",4459,2022,,,,,
125,eSwatini,Africa,"4,396",4396,2022,,,,,
126,Myanmar,Asia,"4,394",4394,2022,,,,,
127,Sri Lanka,Asia,"4,362",4362,2022,,,,,
128,Madagascar,Africa,"4,339",4339,2022,,,,,
129,Egypt,Africa,"4,288",4288,2022,,,,,
130,Chad,Africa,"4,251",4251,2022,,,,,
131,Ethiopia,Africa,"4,241",4241,2022,,,,,
132,Yemen,Africa,"4,197",4197,2022,,,,,
133,Mauritania,Africa,"4,153",4153,2022,,,,,
134,Jordan,Africa,"4,152",4152,2022,,,,,
135,Togo,Africa,"4,112",4112,2022,,,,,
136,India,Asia,"3,777",3777,2022,,,,,
137,Zambia,Africa,"3,760",3760,2022,,,,,
138,Malawi,Africa,"3,750",3750,2022,,,,,
139,Tanzania,Africa,"3,702",3702,2022,,,,,
140,Sierra Leone,Africa,"3,574",3574,2022,,,,,
141,Lesotho,Africa,"3,512",3512,2022,,,,,
142,Botswana,South America,"3,471",3471,2022,,,,,
143,Rwanda,Africa,"3,268",3268,2022,,,,,
144,Zimbabwe,Africa,"2,995",2995,2022,,,,,
145,Lebanon,Africa,"2,955",2955,2022,,,,,
146,Afghanistan,Asia,"2,404",2404,2022,,,,,
